forecast_id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability,woeid
4655736312299520,Heavy Cloud,hc,WSW,2021-06-07T00:32:02.958040Z,2021-06-08,11.8,23.95,22.13,3.675359692884223,248.99040859798436,1023.5,50,10.701876043903605,71,44418,
4656234662723584,Heavy Rain,hr,NW,2021-06-01T15:43:57.358572Z,2021-06-09,12.65,22.54,22.54,2.2742185635886423,308,1016,32,null,77,2122265,
4656244057964544,Heavy Cloud,hc,NNE,2021-06-04T15:36:04.981280Z,2021-06-08,14.5,27.015,26.505,3.902758212107956,29.857806514549303,1018.5,38,15.524337866857552,71,638242,
4657756523986944,Showers,s,SE,2021-06-05T21:43:49.274974Z,2021-06-12,16.905,27.225,26.12,4.224339059890241,126.5,1013,38,9.999726596675416,73,2122265,
4659832402477056,Showers,s,NNW,2021-06-06T03:36:10.851913Z,2021-06-12,15.195,24.43,26.43,4.892637397598027,345,1019,49,9.999726596675416,73,638242,
4664155085733888,Heavy Cloud,hc,WSW,2021-06-06T21:32:02.471357Z,2021-06-09,13.415,23.635,23.71,5.0778708187624275,258.5170110834865,1021.5,45,14.031182891911238,71,44418,
4669356559564800,Heavy Cloud,hc,NE,2021-06-03T03:36:16.662318Z,2021-06-11,13.12,24.04,24.04,4.0202716137755505,35,1017,38,null,71,638242,
4672014120910848,Heavy Rain,hr,NE,2021-06-01T12:36:16.163534Z,2021-06-09,14.15,26.17,26.02,2.5911178716296828,53,1014,36,null,77,638242,
4672929972355072,Clear,c,W,2021-06-05T12:32:07.433738Z,2021-06-11,15.58,26.67,24.67,5.073322993716695,269,1020,51,9.999726596675416,68,44418,
4680604810477568,Showers,s,SSW,2021-06-04T21:43:49.590574Z,2021-06-11,14.41,24.635,21.03,4.218137675972322,191.49999999999977,1009,46,9.999726596675416,73,2122265,
4681704322105344,Light Rain,lr,WSW,2021-06-05T12:32:04.457063Z,2021-06-10,15.35,25.23,21.89,5.350321124632148,245.5,1020,63,9.999726596675416,75,44418,
4684871491387392,Light Cloud,lc,NNW,2021-06-07T00:36:04.968539Z,2021-06-11,14.88,24.565,24.735,4.338363530284472,345.1618406284993,1018.5,50,14.58327119621411,70,638242,
4686028448202752,Heavy Cloud,hc,SE,2021-06-01T03:36:17.161526Z,2021-06-09,17.86,26.93,26.93,2.6594687027757895,135,1018,35,null,71,638242,
4688979325616128,Light Cloud,lc,ESE,2021-06-06T12:32:13.558854Z,2021-06-14,12.61,25.43,24.48,2.379851666268989,102,1022,34,null,70,44418,
4689606927712256,Heavy Cloud,hc,WNW,2021-06-05T00:36:16.769735Z,2021-06-13,11.39,17.94,17.22,4.330957209894217,291,1015,54,null,71,638242,
4690087964049408,Light Cloud,lc,WNW,2021-06-05T03:32:14.284596Z,2021-06-13,16.74,25.07,25.07,3.2994810307802434,283,1016,51,null,70,44418,
4691346288803840,Light Cloud,lc,WSW,2021-06-07T00:32:02.960637Z,2021-06-09,13.415,23.635,23.415,4.2278374187624275,258.5170110834865,1022.5,45,13.707137815159468,70,44418,
4697304582848512,Heavy Rain,hr,NE,2021-06-06T12:43:40.382801Z,2021-06-09,14.135,20.885,19.475,3.944796090543228,51.30730021345536,1011.5,79,10.857218841962936,77,2122265,
4698617265782784,Showers,s,W,2021-06-07T06:32:01.785399Z,2021-06-11,15.46,25.200000000000003,24.88,5.305626007733503,274.6913086709642,1020,57,13.781080987035711,73,44418,
4699123837042688,Light Rain,lr,NE,2021-06-06T21:43:40.373801Z,2021-06-10,14.25,21.545,20.09,4.450061075540179,40.4748773130017,1011.5,67,11.75137198759246,75,2122265,
4700346728316928,Showers,s,WSW,2021-06-05T09:32:05.015814Z,2021-06-10,14.955,25.645000000000003,21.89,4.135321124632148,252.99999999999997,1020,62,9.999726596675416,73,44418,
4701263099854848,Light Cloud,lc,SSE,2021-06-05T15:43:52.148090Z,2021-06-12,13.765,25.44,24.9,3.125935735305814,167.5,1016,34,9.999726596675416,70,2122265,
4707036039217152,Heavy Cloud,hc,WSW,2021-06-07T06:32:01.996156Z,2021-06-09,12.91,24.81,23.58,5.081076602465601,257.47573953285917,1021.5,46,14.946151972480711,71,44418,
4712020080328704,Heavy Rain,hr,S,2021-05-31T12:36:16.467161Z,2021-06-08,16.3,23.27,18.53,2.4482024974150955,175,1016,87,null,77,638242,
4721853978378240,Showers,s,ESE,2021-06-02T18:43:52.471166Z,2021-06-09,14.69,24.725,20.43,3.514107412709775,108,1018,44,9.839412829078183,73,2122265,
4723418789314560,Heavy Rain,hr,WNW,2021-05-31T18:32:13.760477Z,2021-06-08,13.96,22.2,21.29,2.1996540205201622,283,1018,59,null,77,44418,
4726432379961344,Light Cloud,lc,N,2021-06-01T18:43:52.966408Z,2021-06-08,11.29,23.94,19.1,2.964629364511254,355,1023,33,9.999726596675416,70,2122265,
